deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
LIM0007_0034_P__20250117__Recuerdo_agradable__iUSs.wav,2.1482804,3.0024757,3.7487676,2.452811,2.2519214,NISQAv2
LIM0007_0060_A__20250205__Recuerdo_agradable__l4Pj.wav,1.9673022,3.4604118,3.0668297,2.116088,3.1145887,NISQAv2
IQT0008_0095P__20250609__Rutina__goZG.wav,1.96215,3.2487369,2.2723699,2.4547606,2.1419485,NISQAv2
LIM0007_0094_A__20250406__Recuerdo_agradable__9sjl.wav,1.8877635,3.5047193,1.7601991,2.4249108,3.2323472,NISQAv2
IQT0007_0245_P__20250612__Rutina__j615.wav,1.4297042,3.4881213,2.025903,2.1342018,2.7676733,NISQAv2
LIM0008_0062_P__20250203__Recuerdo_agradable__UQd8.wav,1.6213157,3.3834097,1.979569,2.2093837,2.77468,NISQAv2
LIM0004_0063_A__20250129__Re-narración_de_video__tCdT.wav,1.6343819,3.5592144,2.6406715,2.1201835,2.320666,NISQAv2
HUA0008_0218P__20250407__Recuerdo_agradable__pomA.wav,1.2210556,2.9619193,3.0017416,1.8916969,3.139923,NISQAv2
LIM0007_0076_A__20250402__Rutina__7P2m.wav,1.0531493,2.7159908,2.0251756,1.929923,2.234117,NISQAv2
IQT0009_0160_A__20250610__Lámina_1__GJd6.wav,1.4116989,4.098922,3.5247886,1.7113918,2.8060858,NISQAv2
HUA0007_0136A__20250511__Re-narración_de_video__40yT.wav,2.128615,3.7364523,2.3641582,2.5022824,2.7869687,NISQAv2
